age,workclass,education,marital-status,occupation,relationship,race,hours-per-week,native-country,income
41,Private,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,40,United-States,low
57,Self-emp-not-inc,Doctorate,Divorced,Prof-specialty,Not-in-family,White,25,United-States,low
31,Local-gov,Bachelors,Never-married,Prof-specialty,Own-child,White,40,United-States,low
55,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,20,United-States,low
59,Self-emp-not-inc,10th,Married-civ-spouse,Farming-fishing,Husband,White,40,United-States,low
29,Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Other-relative,White,45,United-States,high
50,State-gov,Masters,Widowed,Prof-specialty,Unmarried,White,60,United-States,low
45,Private,12th,Divorced,Craft-repair,Not-in-family,White,40,United-States,low
42,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,40,United-States,high
22,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,40,United-States,low
56,State-gov,Doctorate,Married-civ-spouse,Transport-moving,Husband,White,56,United-States,low
42,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,50,United-States,low
35,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
38,Private,Some-college,Married-civ-spouse,Sales,Husband,White,60,United-States,high
21,?,Some-college,Never-married,?,Not-in-family,White,30,United-States,low
34,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,50,United-States,high
23,Private,9th,Never-married,Handlers-cleaners,Other-relative,White,39,Mexico,low
44,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
41,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,55,United-States,high
62,?,Bachelors,Married-civ-spouse,?,Husband,White,40,United-States,low
44,Federal-gov,Bachelors,Divorced,Exec-managerial,Not-in-family,Black,40,United-States,low
45,Federal-gov,Bachelors,Never-married,Protective-serv,Not-in-family,Black,40,United-States,low
28,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,40,United-States,low
52,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,50,United-States,high
34,Private,HS-grad,Never-married,Craft-repair,Own-child,White,45,United-States,low
63,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,40,United-States,high
37,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,48,United-States,low
68,Local-gov,HS-grad,Widowed,Adm-clerical,Not-in-family,White,33,United-States,low
32,?,HS-grad,Divorced,?,Unmarried,Black,40,United-States,low
21,Federal-gov,Some-college,Never-married,Tech-support,Own-child,Black,20,United-States,low
45,Private,10th,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,40,Vietnam,low
47,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,45,United-States,low
49,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,50,United-States,high
39,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
60,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,48,United-States,high
41,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,62,United-States,low
19,?,11th,Married-civ-spouse,?,Wife,Asian-Pac-Islander,40,Laos,low
34,Federal-gov,Some-college,Divorced,Protective-serv,Own-child,White,72,United-States,low
48,Private,Assoc-acdm,Divorced,Adm-clerical,Unmarried,White,40,United-States,low
50,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
56,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,40,United-States,high
33,Private,Assoc-voc,Separated,Protective-serv,Not-in-family,White,40,United-States,low
28,Private,12th,Never-married,Sales,Unmarried,Black,40,United-States,low
46,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,40,United-States,low
31,Private,Some-college,Never-married,Sales,Not-in-family,White,40,United-States,low
27,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,40,United-States,low
35,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,50,United-States,low
28,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,40,United-States,low
43,Local-gov,Some-college,Divorced,Protective-serv,Unmarried,White,40,United-States,low
29,Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,38,El-Salvador,low
28,Private,HS-grad,Never-married,Craft-repair,Own-child,White,40,United-States,low
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,40,United-States,high
55,Private,Masters,Married-civ-spouse,Tech-support,Husband,White,20,United-States,high
33,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,White,40,United-States,low
20,?,Some-college,Never-married,?,Own-child,White,35,United-States,low
22,Private,Some-college,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,40,Philippines,low
45,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,44,United-States,high
46,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,40,United-States,low
45,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,Own-child,White,75,United-States,low
23,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,40,United-States,low
36,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,40,United-States,low
49,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,50,United-States,high
