age,workclass,education-num,occupation,sex,capital-gain,capital-loss,hours-per-week,income
65,Local-gov,9,Handlers-cleaners,Male,6418,0,45,high
17,Private,5,Handlers-cleaners,Male,0,0,40,low
18,Private,10,Protective-serv,Female,0,0,40,low
67,?,9,?,Male,0,0,20,low
46,State-gov,9,Transport-moving,Male,0,0,40,low
60,Private,4,Sales,Male,0,0,40,low
18,?,10,?,Female,0,0,40,low
20,Private,8,Sales,Female,0,0,55,low
63,Local-gov,10,Adm-clerical,Female,0,0,40,low
30,Private,9,Transport-moving,Male,0,0,73,high
42,Self-emp-not-inc,9,Farming-fishing,Male,0,0,85,low
26,Private,4,Machine-op-inspct,Male,0,0,48,low
38,Private,11,Sales,Male,0,0,40,low
48,Private,14,Prof-specialty,Male,0,0,75,low
20,Private,10,Sales,Male,0,0,15,low
40,Private,9,Sales,Female,0,0,40,high
32,Private,9,Adm-clerical,Female,0,0,40,low
34,Private,9,Handlers-cleaners,Male,0,0,60,low
32,Private,13,Adm-clerical,Female,0,0,35,high
26,Private,14,Prof-specialty,Female,0,0,40,low
42,State-gov,14,Prof-specialty,Male,0,0,38,high
27,Private,10,Craft-repair,Male,0,0,55,low
24,Private,13,Prof-specialty,Male,0,0,30,low
45,Private,10,Exec-managerial,Male,0,0,65,low
25,Private,9,Transport-moving,Male,0,0,60,low
36,Private,8,Craft-repair,Male,0,0,40,low
47,Private,9,Craft-repair,Male,0,0,40,high
55,Self-emp-inc,9,Exec-managerial,Male,0,0,50,high
60,Private,10,Machine-op-inspct,Male,3103,0,40,high
30,Private,13,Sales,Male,2407,0,40,low
36,Private,1,Other-service,Male,0,0,72,low
51,Private,9,Craft-repair,Male,0,0,40,high
47,?,9,?,Female,0,0,40,low
26,Private,9,Craft-repair,Male,0,0,48,low
33,State-gov,10,Other-service,Male,0,0,40,low
42,State-gov,13,Adm-clerical,Male,0,0,40,low
22,Private,13,Sales,Male,0,0,40,low
40,Private,9,Exec-managerial,Male,0,0,40,high
21,Private,9,Other-service,Male,0,0,35,low
28,Private,13,Exec-managerial,Male,0,0,40,high
23,Private,13,Tech-support,Female,0,0,40,low
59,Private,10,Machine-op-inspct,Male,0,0,50,low
18,Private,7,Other-service,Male,0,0,15,low
33,Self-emp-not-inc,10,Craft-repair,Male,0,0,50,high
34,Private,10,Tech-support,Male,0,1485,40,low
18,Private,7,Other-service,Male,0,0,24,low
22,?,10,?,Male,0,0,40,low
24,Local-gov,10,Protective-serv,Female,0,0,40,low
41,Private,13,Adm-clerical,Female,0,0,35,low
43,Private,11,Craft-repair,Male,0,0,40,low
25,Private,12,Prof-specialty,Male,0,0,55,low
46,Private,13,Prof-specialty,Female,0,1876,40,low
22,Private,13,Sales,Female,0,0,8,low
18,Private,7,Sales,Male,0,0,35,low
50,Private,16,Prof-specialty,Male,10520,0,50,high
30,Private,10,Sales,Female,0,0,16,low
44,Private,14,Exec-managerial,Male,14084,0,56,high
34,Local-gov,9,Protective-serv,Male,0,0,40,low
35,Private,9,Sales,Male,0,0,40,low
28,Private,11,Other-service,Female,0,0,40,low
65,Self-emp-inc,16,Exec-managerial,Male,99999,0,40,high
25,Private,10,Other-service,Female,0,0,45,low
43,Private,10,Prof-specialty,Male,0,0,40,high
67,Private,9,Adm-clerical,Female,0,0,21,low
33,Private,13,Sales,Female,0,0,40,low
61,Private,5,Craft-repair,Male,0,0,40,low
23,Private,13,Prof-specialty,Female,0,0,40,low
23,Private,9,Transport-moving,Male,0,0,40,low
35,Private,9,Craft-repair,Male,0,0,40,high
30,Private,10,Other-service,Female,0,0,20,low
44,State-gov,13,Farming-fishing,Male,0,0,40,low
43,State-gov,9,Transport-moving,Male,0,0,60,low
18,?,10,?,Male,0,0,25,low
19,Private,9,Prof-specialty,Male,0,0,30,low
51,Self-emp-not-inc,9,Craft-repair,Male,3137,0,60,low
33,Self-emp-inc,13,Prof-specialty,Female,0,0,40,low
57,State-gov,9,Exec-managerial,Male,0,0,40,high
19,Private,9,Craft-repair,Female,0,0,40,low
31,Private,9,Machine-op-inspct,Male,0,0,55,low
39,Private,12,Tech-support,Male,0,0,42,low
51,Private,9,Craft-repair,Male,0,0,40,low
34,Private,9,Exec-managerial,Male,0,0,50,low
22,Private,9,Other-service,Male,0,0,40,low
24,Private,9,Machine-op-inspct,Male,0,0,40,low
76,?,3,?,Male,0,0,8,low
34,Private,10,Sales,Female,0,0,35,low
38,Private,13,Exec-managerial,Male,2202,0,45,low
33,Private,6,Farming-fishing,Male,0,0,40,low
17,?,6,?,Male,0,0,20,low
43,Private,10,Machine-op-inspct,Male,0,0,40,low
52,?,9,?,Male,0,0,45,high
74,?,4,?,Male,0,0,2,low
21,?,10,?,Female,0,0,52,low
50,Private,14,Exec-managerial,Male,0,0,65,high
25,?,10,?,Female,0,0,20,low
17,Private,7,Other-service,Female,0,0,12,low
37,Private,9,Sales,Male,0,0,47,low
30,Self-emp-not-inc,8,Transport-moving,Male,0,0,75,low
21,Private,10,Other-service,Female,0,0,20,low
66,Self-emp-not-inc,9,Farming-fishing,Male,0,0,10,low
48,Federal-gov,10,Craft-repair,Male,0,0,40,high
25,Private,10,Adm-clerical,Female,0,0,40,low
30,Private,13,Prof-specialty,Male,0,0,50,low
29,?,9,?,Male,0,0,40,low
31,Self-emp-not-inc,13,Exec-managerial,Female,0,1902,40,high
45,Private,12,Exec-managerial,Female,0,0,40,low
19,Private,9,Handlers-cleaners,Male,0,0,25,low
38,Private,9,Adm-clerical,Female,0,0,40,high
61,Private,9,Craft-repair,Male,0,0,37,low
67,Without-pay,9,Adm-clerical,Male,0,0,12,low
26,Private,11,Sales,Female,0,0,54,low
40,Local-gov,10,Exec-managerial,Male,0,0,42,high
61,Self-emp-not-inc,9,Craft-repair,Male,0,0,40,low
33,Private,9,Craft-repair,Male,0,0,40,low
66,Private,14,Sales,Female,0,0,20,low
47,Self-emp-not-inc,7,Exec-managerial,Female,0,0,55,low
72,Private,9,Priv-house-serv,Female,0,0,25,low
21,Private,9,Craft-repair,Male,0,0,40,low
33,Private,8,Sales,Female,0,0,40,low
23,Private,13,Adm-clerical,Male,0,0,30,low
47,Private,9,Exec-managerial,Female,0,0,40,high
42,Self-emp-inc,8,Craft-repair,Male,0,0,10,low
32,Self-emp-not-inc,10,Exec-managerial,Male,0,0,35,high
17,Private,7,Other-service,Female,0,0,15,low
21,Private,9,Other-service,Female,0,0,30,low
35,Private,13,Exec-managerial,Male,0,0,60,high
25,Private,10,Priv-house-serv,Female,0,0,30,low
47,Local-gov,11,Adm-clerical,Female,0,0,40,low
31,Private,10,Exec-managerial,Male,0,0,50,high
19,Local-gov,9,Craft-repair,Male,0,0,40,low
63,Private,9,Exec-managerial,Female,0,0,40,low
34,Private,10,Craft-repair,Male,0,0,50,low
29,Private,10,Adm-clerical,Male,0,0,60,low
23,?,10,?,Female,0,0,15,low
42,Private,9,Machine-op-inspct,Female,0,0,40,low
26,Private,13,Prof-specialty,Male,0,0,25,low
20,Private,9,Other-service,Female,0,0,30,low
37,Local-gov,10,Exec-managerial,Male,0,0,40,high
48,Private,14,Prof-specialty,Male,15024,0,40,high
50,Private,9,Sales,Male,0,0,80,low
39,Self-emp-not-inc,13,Sales,Male,0,0,60,low
44,Private,9,Transport-moving,Male,0,0,70,low
34,Private,13,Sales,Male,0,1564,60,high
55,Self-emp-inc,13,Sales,Male,0,0,60,high
33,Private,10,Adm-clerical,Male,4064,0,40,low
29,Private,13,Prof-specialty,Female,0,0,40,low
45,Self-emp-not-inc,13,Prof-specialty,Male,0,0,35,low
26,Private,10,Machine-op-inspct,Male,0,0,40,low
35,Private,10,Sales,Male,0,1741,50,low
33,Self-emp-inc,10,Craft-repair,Male,0,0,40,low
25,Private,10,Exec-managerial,Female,0,0,15,low
58,Local-gov,14,Prof-specialty,Male,0,0,40,high
56,Private,4,Machine-op-inspct,Male,0,0,48,low
29,Private,13,Prof-specialty,Female,0,0,45,low
32,Private,10,Tech-support,Male,0,1980,40,low
