Ownership Type,County,City,Province,Postcode,Timezone,area_code,Latitude,Longitude
Company Owned,丰台区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.9,116.32
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.97,116.32
Company Owned,朝阳区朝阳公园路6号,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.95,116.47
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.97,116.45
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.93,116.46
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.92,116.36
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.43
Company Owned,昌平区,北京市,11,102200,GMT+08:00 Asia/Beijing,010,40.1,116.29
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.42
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.98,116.49
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.45
Company Owned,惠新东街4号,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.99,116.42
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.89,116.45
Company Owned,东城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.93,116.44
Company Owned,西城区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.38
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.05,116.36
Company Owned,通州区,北京市,11,101100,GMT+08:00 Asia/Beijing,,39.89,116.66
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.91,116.28
Company Owned,顺义区,北京市,11,101300,GMT+08:00 Asia/Beijing,010,40.08,116.6
Company Owned,北京市,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.82,116.3
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,40.0,116.48
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,010,39.99,116.43
Company Owned,朝阳区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.95,116.46
Company Owned,海淀区,北京市,11,100000,GMT+08:00 Asia/Beijing,,39.91,116.31
